company,plant_cost_us_billions,plant_location,plant_name,process_technology,production_capacity,started_production,technology_products,wafer_size
TDK,,"Japan , Saku",,,,,,
TDK - Tronics,,"USA , TX, Addison",,,,,,
Silanna (formerly Sapphicon Semiconductor),0.030,"Australia, Sydney Olympic Park",,,,"1965,1989",,150
Silanna (formerly Sapphicon Semiconductor) (formerly Peregrine Semiconductor) (formerly Integrated Device Technology),,"Australia, Sydney",,"500, 250",,,"RF CMOS, Silicon on sapphireSOS, foundry",150
Murata Manufacturing,0.100,Japan,Nagano,,,,SAW filters,
Murata Manufacturing,,Japan,Otsuki,,,,,
Murata Manufacturing,0.111,Japan,Kanazawa,,,,SAW filters,
Murata Manufacturing,0.092,"Japan, Miyagi Prefecture",Sendai,,,,MEMS,
Murata Manufacturing,,"Japan, Yamanashi Prefecture",Yamanashi,,,,,
Murata Manufacturing,,"Japan, Yasu, Shiga Prefecture",Yasu,,,,,
Mitsumi Electric,,"Japan, Atsugi Operation Base",Semiconductor Works #3,,,2000,,
Mitsumi Electric,,"Japan, Atsugi Operation Base",,,,1979,,
Sony,,"Japan, Kagoshima",Kagoshima Technology Center,,,1973,"Bipolar CCD, MOS, MMIC, SXRD",
Sony,,"Japan, Oita",Oita Technology Center,,,2016,CMOS Image Sensor,
Sony,,"Japan, Nagasaki",Nagasaki Technology Center,,,1987,"MOS LSI, CMOS Image Sensors, SXRD",
Sony,,"Japan, Kumamoto",Kumamoto Technology Center,,,2001,"CCD Imgage Sensors, H-LCD, SXRD",
Sony,,"Japan, Shiroishi",Shiroishi Zao Technology Center,,,1969,Semiconductor LaserLasers,
Sony,,"Japan, Miyagi",Sony Shiroishi Semiconductor Inc.,,,,Semiconductor Lasers,
Sony,,"Japan, Yamagata",Yamagata Technology Center,,,2014,"CMOS Image Sensor, eDRAM (formerly)",
MagnaChip,,,F-5,130 nanometer130,,2005,,200
SK Hynix,,"China , Chongqing",,,,,,
SK Hynix,,"China , Chongqing",,,,,,
SK Hynix,,"South Korea , Cheongju, Chungcheongbuk-do",,,,,NAND Flash,
SK Hynix,,"South Korea , Cheongju",,,,,NAND Flash,
SK Hynix,,"South Korea , Cheongju",M8,,,,Foundry,200
SK Hynix,,"South Korea , Icheon",M10,,,,DRAM,300
SK Hynix,,"South Korea , Cheongju",M11,,,,NAND Flash,300
SK Hynix,,"South Korea , Cheongju",M12,,,,NAND Flash,300
SK Hynix,,"China , Wuxi",HC1,,"100,000",,DRAM,300
SK Hynix,,"China , Wuxi",HC2,,"70,000",,DRAM,300
SK Hynix,,"South Korea , Icheon",M14,,,,"DRAM, NAND Flash",300
SK Hynix,3.13 (13.4 total planned),"South Korea , Incheon",M16,10 (EUV),"15,000-20,000 (initial)",2021 (planned),DRAM,300
LG Innotek,,"South Korea , 570, Hyuam-ro, Munsan-eup, Paju-si, Gyeonggi-do, 10842",Paju,,,,"LED Epi-wafer, Chip, Package",
Diodes Incorporated (formerly Zetex Semiconductors),,"UK , Oldham",OFAB,,,,,150
Diodes Incorporated (formerly https://web.archive.org/web/20060430031746/http://www.bcdsemi.com/service/service.asp BCD Semi),,China,,4000–1000,,,,150
Diodes Incorporated (formerly Texas Instruments),,"UK , Scotland, Greenock",GFAB,,"40,000",,,150/200
Lite-OnLite-On Optoelectronics,,"China, Tianjin",,,,,,
Lite-OnLite-On Optoelectronics,,"Thailand, Bangkok",,,,,,
Lite-OnLite-On Optoelectronics,,"China, Jiangsu",,,,,,
Lite-OnLite-On Semiconductor,,"Taiwan, Keelung",Keelung Plant,,,1990,"Thyristor, DIscrete",100
Lite-OnLite-On Semiconductor,,"Taiwan, Hsinchu",Hsinchu Plant,,,2005,"Bipolar BCD, CMOS",
Lite-OnLite-On Semiconductor,,"China, Jiangsu",Lite-On Semi (Wuxi),,,2004,Discrete,100
Lite-OnLite-On Semiconductor,,"China, Jiangsu",Wuxi WMEC Plant,,,2005,"Discrete, Power, Optical ICs",
Lite-OnLite-On Semiconductor,,"China, Shanghai",Shanghai (SSEC) Plant,,,1993,"Fab, Assembly",76
Trumpf (formerly Philips Photonics),,"Germany , Ulm",,,,,VCSEL,
Philips,,"Netherlands, Eindhoven",,,"30,000",,"R&D, MEMS","200,150"
Nexperia (formerly NXP Semiconductors),,"Germany , Hamburg",Hamburg site,,"35,000",1953,Small-signal and,200
Nexperia (formerly NXP Semiconductors),,"UK , Bramhall Moor Lane, Pepper Rd, Hazel Grove, Stockport SK7 5BJ",Manchester,,"24,000",1987?,"Gallium nitrideGaN FETs, TrenchMOS MOSFETs","150, 200"
NXP Semiconductors,,"Netherlands, Nijmegen",ICN8,,"40,000+",,SiGe,200
NXP Semiconductors,,Japan,,,,,"Bipolar, Mos, Analog, Digital, Transistors, DiodeDiodes",
NXP Semiconductors - Systems_on_Silicon_ManufacturingSSMC,1.7,Singapore,SSMC,120,"53,000",2001,SiGe,200
NXP Semiconductors - Jilin Semiconductor,,"China , Jilin",,,,,,130
NXP Semiconductors (formerly Freescale Semiconductor),.8,"USA , TX, Austin",Oak Hill Fab,250 nanometer250,,1991,,200
NXP Semiconductors (formerly Freescale Semiconductor),1.1 +0.1 (Gallium nitrideGaN),"USA , AZ, Chandler",Chandler Fab,180 nanometer180,,1993,GaN-on-SiC pHEMT,"150 (Gallium nitrideGaN), 200"
NXP Semiconductors (formerly Freescale Semiconductor),,"USA , TX, Austin",ATMC,90 nanometer90,,1995,,200
NXP Semiconductors (formerly Freescale Semiconductor),,"Mexico , Guadalajara",MOTOFAB1,,,2002,,
AWSC,,"Taiwan , Tainan",,,"12,000",1999,"Foundry, Gallium arsenideGaAs HBT, D pHEMT, IPD, ED pHEMT, ED BiHEMT, InGaP",150
Skyworks Solutions,,"USA, CA",,,,,"Compound Semiconductors (GaAs, Aluminium gallium arsenideAlGaAs, InGaP)","100, 150"
